P(chronicler|by spanish) = 1.011660
P(new|by the) = 1.011660
P(the|by) = 0.126441
P(tons|c 100) = 1.011660
P(january|c 1497) = 1.011660
P(in|c rdoba) = 1.011660
P(rdoba|c) = 0.337175
P(pi|cabo de) = 0.505830
P(enga|cabo del) = 1.011660
P(del|cabo) = 0.337175
P(a|cabril and) = 1.011660
P(1520|cabril around) = 1.011660
P(beira|cabril in) = 0.505830
P(having|cabril keeps) = 1.011660
P(keeps|cabril) = 0.202305
P(it|cabrilha originated) = 1.011660
P(originated|cabrilha) = 1.011525
P(galician|cabrilhe in) = 1.011660
P(in|cabrilhe) = 1.011525
P(was|cabrilho and) = 1.011660
P(1497|cabrilho c) = 1.011660
P(the|cabrilho call) = 1.011660
P(a|cabrilho offered) = 1.011660
P(pilot|cabrilho s) = 0.252915
P(name|cabrilho the) = 1.011660
P(portuguese|cabrilho was) = 1.011660
P(was|cabrilho) = 0.101153
P(within|cabrillo anchored) = 1.011660
P(juan|cabrillo as) = 1.011660
P(and|cabrillo built) = 1.011660
P(to|cabrillo came) = 1.011660
P(there|cabrillo did) = 1.011660
P(monterey|cabrillo entered) = 1.011660
P(spanish|cabrillo in) = 1.011660
P(the|cabrillo of) = 1.011660
P(jo|cabrillo portuguese) = 1.011660
P(voyage|cabrillo s) = 0.168610
P(anacapa|cabrillo saw) = 1.011660
P(out|cabrillo set) = 1.011660
P(for|cabrillo shipped) = 1.011660
P(out|cabrillo stepped) = 1.011660
P(under|cabrillo testified) = 1.011660
P(then|cabrillo was) = 0.505830
P(was|cabrillo) = 0.087959
P(xucu|california and) = 0.505830
P(and|california coast) = 1.011660
P(1542|california in) = 1.011660
P(along|california navigating) = 1.011660
P(property|california were) = 1.011660
P(were|california) = 0.144504
P(house|call the) = 1.011660
P(the|call) = 1.011525
P(spain|called new) = 1.011660
P(new|called) = 1.011525
P(san|came to) = 1.011660
P(to|came) = 1.011525
P(data|carbon 14) = 1.011660
P(14|carbon) = 1.011525
P(and|carefully evaluated) = 1.011660
P(evaluated|carefully) = 1.011525
P(galego|casa do) = 0.505830
P(do|casa) = 1.011525
P(las|castellanos en) = 1.011660
P(en|castellanos) = 1.011525
P(viseu|castro daire) = 1.011660
P(daire|castro) = 1.011525
P(to|catalina island) = 0.505830
P(island|catalina) = 1.011525
P(the|cautioned that) = 1.011660
P(that|cautioned) = 1.011525
P(before|cedros island) = 1.011660
P(island|cedros) = 1.011525
P(more|centuries and) = 1.011660
P(was|centuries he) = 1.011660
P(he|centuries) = 0.505763
P(|century) = 1.011525
P(|charts) = 1.011525
P(alvarado|chest following) = 1.011660
P(following|chest) = 1.011525
P(at|children including) = 1.011660
P(including|children) = 1.011525
P(the|china for) = 1.011660
P(for|china) = 1.011525
P(while|christmas day) = 1.011660
P(cabrillo|christmas eve) = 1.011660
P(eve|christmas) = 0.505763
P(de|chronicler antonio) = 1.011660
P(antonio|chronicler) = 1.011525
P(on|chumash villages) = 1.011660
P(villages|chumash) = 1.011525
P(oaxaca|city of) = 1.011660
P(of|city) = 1.011525
P(be|claim to) = 1.011660
P(to|claim) = 1.011525
P(cabrillo|claimed as) = 1.011660
P(as|claimed) = 1.011525
P(was|claims he) = 1.011660
P(he|claims) = 1.011525
P(was|clemente island) = 1.011660
P(island|clemente) = 1.011525
P(of|co owner) = 1.011660
P(owner|co) = 1.011525
P(adjacent|coast and) = 1.011660
P(saw|coast cabrillo) = 0.505830
P(search|coast in) = 1.011660
P(san|coast of) = 0.337220
P(of|coast) = 0.433511
P(autumn|columbia before) = 1.011660
P(before|columbia) = 1.011525
P(down|coming back) = 1.011660
P(back|coming) = 1.011525
P(the|command brought) = 1.011660
P(cabrillo|command of) = 1.011660
P(of|command) = 0.505763
P(the|commissioned by) = 0.505830
P(by|commissioned) = 1.011525
P(wife|common law) = 1.011660
P(law|common) = 1.011525
P(that|community cautioned) = 1.011660
P(cautioned|community) = 1.011525
P(they|conception which) = 1.011660
P(which|conception) = 1.011525
P(pacific|connecting the) = 1.011660
P(the|connecting) = 1.011525
P(mexico|conquistadores in) = 1.011660
P(in|conquistadores) = 1.011525
P(the|copies of) = 1.011660
P(of|copies) = 1.011525
P(in|cort s) = 0.337220
P(s|cort) = 1.011525
P(and|county california) = 0.505830
P(california|county) = 1.011525
P(armed|crowd of) = 1.011660
P(of|crowd) = 1.011525
P(his|crucifix to) = 1.011660
P(to|crucifix) = 1.011525
P(chest|crushing his) = 1.011660
P(his|crushing) = 1.011525
P(a|cuyler harbor) = 1.011660
P(harbor|cuyler) = 1.011525
P(have|da serra) = 1.011660
P(serra|da) = 1.011525
P(or|daire viseu) = 1.011660
P(viseu|daire) = 1.011525
P(early|data validates) = 1.011660
P(validates|data) = 1.011525
P(he|daughters later) = 1.011660
P(later|daughters) = 1.011525
P(navigating|day california) = 1.011660
P(anchored|day they) = 1.011660
P(in|day while) = 1.011660
P(while|day) = 0.337175
P(went|de alvarado) = 1.011660
P(esperan|de buena) = 1.011660
P(keeps|de cabril) = 0.337220
P(cabrillo|de galera) = 1.011660
P(y|de herrera) = 0.505830
P(victoria|de la) = 1.011660
P(pi|de los) = 0.252915
P(to|de mendoza) = 1.011660
P(now|de micergilio) = 1.011660
P(paying|de nicaragua) = 1.011660
P(to|de orozco) = 1.011660
P(in|de ortega) = 1.011660
P(os|de pi) = 1.011660
P(who|de ulloa) = 0.505830
P(who|de urdaneta) = 1.011660
P(and|de villalobos) = 1.011660
P(villalobos|de) = 0.042147
P(referred|death herrera) = 1.011660
P(viceroy|death the) = 1.011660
P(the|death) = 0.505763
P(centuries|debated for) = 1.011660
P(for|debated) = 1.011525
P(suggesting|defence garrison) = 1.011660
P(garrison|defence) = 1.011525
P(o|del enga) = 1.011660
P(oceano|del mar) = 1.011660
P(o|del r) = 1.011660
P(r|del) = 0.337175
P(branches|descendants of) = 1.011660
P(of|descendants) = 1.011525
P(portuguese|described as) = 1.011660
P(as|described) = 1.011525
P(unknown|description is) = 1.011660
P(is|description it) = 1.011660
P(it|description) = 0.505763
P(the|details of) = 1.011660
P(of|details) = 1.011525
P(and|developed gangrene) = 1.011660
P(gangrene|developed) = 1.011525
P(|did there) = 1.000000
P(there|did) = 1.011525
P(january|died on) = 1.011660
P(on|died) = 1.011525
P(and|diego bay) = 1.011660
P(portuguese|diego s) = 1.011660
P(s|diego) = 0.505763
P(were|discovered california) = 1.011660
P(2015|discovered in) = 1.011660
P(in|discovered) = 0.505763
P(house|do americano) = 1.011660
P(house|do galego) = 1.011660
P(however|do so) = 1.011660
P(so|do) = 0.337175
P(a|documents about) = 1.011660
P(turned|documents be) = 1.011660
P(in|documents discovered) = 1.011660
P(discovered|documents) = 0.337175
